regName,type,arraySize,VGAbase,VGAvalue,XGAbase,XGAvalue,L520base,L520value
GNRLcodeLength,uint8,1,d,00000064,d,00000052,h,00000020
GNRLimgHsize,uint16,1,d,640,d,1024,d,152
GNRLimgVsize,uint16,1,d,480,d,768,d,232
GNRLsampleRate,uint8,1,h,00000008,h,00000008,h,00000010
GNRLzMaxSubMMExp,uint16,1,h,00000002,h,00000002,h,00000002
GNRLrangeFinder,logical,1,b,0,b,0,b,0
GNRLsideLobeDir,logical,1,b,0,b,0,b,0
DIGGnestBypass,logical,1,b,0,b,0,b,0
DIGGgammaScale,int16,2,h,04000400,h,04000400,h,04000400
DIGGgammaShift,int16,2,h,00000000,h,00000000,h,00000000
DIGGnestLdOnDelay,uint8,1,h,19,h,19,h,19
DIGGnestNumOfSamplesExp,uint8,1,h,08,h,08,h,08
DIGGundistBypass,logical,1,b,0,b,0,b,0
DIGGycrossThr,uint32,1,h,0064,h,0064,h,0064
DIGGnotchBypass,logical,1,b,1,b,1,b,1
DIGGgammaBypass,logical,1,b,0,b,0,b,0
DIGGsphericalEn,logical,1,b,0,b,0,b,0
DIGGgengRangeFinderLUT_000,uint4,8,h,00FF0FFF,h,00FF0FFF,h,00FF0FFF
DIGGgengRangeFinderLUT_001,uint4,8,h,00000000,h,00000000,h,00000000
DIGGgengRangeFinderLUT_002,uint4,8,h,00FF1F20,h,00FF1F20,h,00FF1F20
DIGGgengRangeFinderLUT_003,uint4,8,h,00000000,h,00000000,h,00000000
DIGGgengRangeFinderLUT_004,uint4,8,h,00000000,h,00000000,h,00000000
DIGGgengRangeFinderLUT_005,uint4,8,h,00000000,h,00000000,h,00000000
DIGGgengRangeFinderLUT_006,uint4,8,h,00000000,h,00000000,h,00000000
DIGGgengRangeFinderLUT_007,uint4,8,h,00000000,h,00000000,h,00000000
DIGGspare_002,uint32,1,h,00000000,h,00000000,h,00000000
DIGGspare_003,uint32,1,h,00000000,h,00000000,h,00000000
DIGGspare_004,uint32,1,h,00000000,h,00000000,h,00000000
DIGGspare_006,uint32,1,h,00000000,h,00000000,h,00000000
DIGGspare_007,uint32,1,h,00000000,h,00000000,h,00000000
RASTbiltAdapt,uint8,1,h,00000000,h,00000000,h,00000000
RASTbiltBypass,logical,1,b,0,b,0,b,0
