regName,type,arraySize,VGAbase,VGAvalue,XGAbase,XGAvalue,XGAupscaleYbase,XGAupscaleYvalue,VXGAbase,VXGAvalue,L520base,L520value
GNRLcodeLength,uint8,1,d,00000064,d,00000052,d,00000052,d,00000052,h,00000020
GNRLimgHsize,uint16,1,d,640,d,1024,d,1024,d,1024,d,152
GNRLimgVsize,uint16,1,d,480,d,768,d,384,d,480,d,232
GNRLsampleRate,uint8,1,h,00000008,h,00000008,h,00000008,h,00000008,h,00000010
JFILgrad2bypass,logical,1,b,1,b,0,b,0,b,0,b,1
JFILupscalex1y0,logical,1,b,1,b,1,b,0,b,1,b,1
JFILupscalexyBypass,logical,1,b,1,b,1,b,0,b,1,b,1
FRMWpllClock,single,1,f,3.984,f,3.984,f,3.984,f,3.984,f,0.996
FRMWcoarseSampleRate,uint8,1,h,00000002,h,00000001,h,00000002,h,00000002,h,00000002
FRMWtxCode_000,uint32,1,h,3CCCC33C,h,3CCCCC3C,h,3CCCCC3C,h,3CCCCC3C,h,69565A99
FRMWtxCode_001,uint32,1,h,C3C333CC,h,000CC33C,h,000CC33C,h,000CC33C,h,00000000
FRMWcbufMargin,uint32,1,h,2a,h,a,h,a,h,a,h,2a
FRMWexternalVsize,uint32,1,d,480,d,768,d,768,d,480,d,232
FRMWexternalHsize,uint32,1,d,640,d,1024,d,1024,d,1024,d,152
JFILirShadingScale,uint16,2,h,0222019A,h,01550100,h,01550100,h,02220100,h,046A06BD
