Listing of Grid Distortion Data

File : C:\Users\nberkovi\AppData\Local\Microsoft\Windows\INetCache\Content.Outlook\LUPB47RS\WA 3E SEQ 1 5x L4 0  170113 DFM PS.ZMX
Title: 1.5X 4.0mm Expander 50x37.5 to 75x56

Date : 29-Mar-17


Units are Millimeters.
Field units are degrees
Wavelength: 0.86000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref =  0.00000E+00

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
 -25	 -25	 -2.21834E+01	 -2.21834E+01	  2.99700E+01	 -1.14370E+03	 -1.14370E+03	 -1.50910E+03	 -1.50910E+03	    31.948593%
 -25	 -24	 -2.21834E+01	 -2.13776E+01	  2.94767E+01	 -1.14370E+03	 -1.09795E+03	 -1.49105E+03	 -1.43141E+03	    30.370335%
 -25	 -23	 -2.21834E+01	 -2.05628E+01	  2.89894E+01	 -1.14370E+03	 -1.05221E+03	 -1.47371E+03	 -1.35582E+03	    28.854485%
 -25	 -22	 -2.21834E+01	 -1.97392E+01	  2.85089E+01	 -1.14370E+03	 -1.00646E+03	 -1.45713E+03	 -1.28256E+03	    27.416944%
 -25	 -21	 -2.21834E+01	 -1.89071E+01	  2.80363E+01	 -1.14370E+03	 -9.60710E+02	 -1.44133E+03	 -1.21090E+03	    26.030984%
 -25	 -20	 -2.21834E+01	 -1.80665E+01	  2.75727E+01	 -1.14370E+03	 -9.14962E+02	 -1.42633E+03	 -1.14116E+03	    24.715491%
 -25	 -19	 -2.21834E+01	 -1.72179E+01	  2.71193E+01	 -1.14370E+03	 -8.69214E+02	 -1.41218E+03	 -1.07327E+03	    23.474982%
 -25	 -18	 -2.21834E+01	 -1.63614E+01	  2.66772E+01	 -1.14370E+03	 -8.23466E+02	 -1.39893E+03	 -1.00723E+03	    22.315556%
 -25	 -17	 -2.21834E+01	 -1.54973E+01	  2.62478E+01	 -1.14370E+03	 -7.77718E+02	 -1.38656E+03	 -9.42859E+02	    21.234059%
 -25	 -16	 -2.21834E+01	 -1.46259E+01	  2.58322E+01	 -1.14370E+03	 -7.31970E+02	 -1.37507E+03	 -8.80042E+02	    20.229235%
 -25	 -15	 -2.21834E+01	 -1.37475E+01	  2.54320E+01	 -1.14370E+03	 -6.86222E+02	 -1.36443E+03	 -8.18661E+02	    19.299794%
 -25	 -14	 -2.21834E+01	 -1.28625E+01	  2.50484E+01	 -1.14370E+03	 -6.40474E+02	 -1.35465E+03	 -7.58602E+02	    18.443921%
 -25	 -13	 -2.21834E+01	 -1.19713E+01	  2.46830E+01	 -1.14370E+03	 -5.94725E+02	 -1.34567E+03	 -6.99751E+02	    17.659475%
 -25	 -12	 -2.21834E+01	 -1.10741E+01	  2.43370E+01	 -1.14370E+03	 -5.48977E+02	 -1.33749E+03	 -6.41997E+02	    16.944154%
 -25	 -11	 -2.21834E+01	 -1.01713E+01	  2.40120E+01	 -1.14370E+03	 -5.03229E+02	 -1.33008E+03	 -5.85234E+02	    16.295620%
 -25	 -10	 -2.21834E+01	 -9.26348E+00	  2.37094E+01	 -1.14370E+03	 -4.57481E+02	 -1.32340E+03	 -5.29359E+02	    15.711588%
 -25	  -9	 -2.21834E+01	 -8.35091E+00	  2.34306E+01	 -1.14370E+03	 -4.11733E+02	 -1.31743E+03	 -4.74275E+02	    15.189895%
 -25	  -8	 -2.21834E+01	 -7.43404E+00	  2.31769E+01	 -1.14370E+03	 -3.65985E+02	 -1.31215E+03	 -4.19889E+02	    14.728543%
 -25	  -7	 -2.21834E+01	 -6.51333E+00	  2.29496E+01	 -1.14370E+03	 -3.20237E+02	 -1.30755E+03	 -3.66113E+02	    14.325723%
 -25	  -6	 -2.21834E+01	 -5.58923E+00	  2.27499E+01	 -1.14370E+03	 -2.74489E+02	 -1.30359E+03	 -3.12862E+02	    13.979833%
 -25	  -5	 -2.21834E+01	 -4.66221E+00	  2.25790E+01	 -1.14370E+03	 -2.28741E+02	 -1.30027E+03	 -2.60054E+02	    13.689486%
 -25	  -4	 -2.21834E+01	 -3.73273E+00	  2.24377E+01	 -1.14370E+03	 -1.82992E+02	 -1.29757E+03	 -2.07611E+02	    13.453512%
 -25	  -3	 -2.21834E+01	 -2.80128E+00	  2.23270E+01	 -1.14370E+03	 -1.37244E+02	 -1.29548E+03	 -1.55458E+02	    13.270958%
 -25	  -2	 -2.21834E+01	 -1.86835E+00	  2.22474E+01	 -1.14370E+03	 -9.14962E+01	 -1.29400E+03	 -1.03520E+02	    13.141087%
