Listing of Grid Distortion Data

File : C:\Users\nberkovi\AppData\Local\Microsoft\Windows\INetCache\Content.Outlook\LUPB47RS\FF WA 1E SEQ 1.4  170308 1p14 TPF 860.ZMX
Title:  FF : Lenght 1.4mm 1.14x TPF
Date : 30-Apr-17


Units are Millimeters.
Field units are degrees
Wavelength: 0.86000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref =  0.00000E+00

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
 -25	 -25	 -2.59189E+01	 -2.59189E+01	  3.45000E+01	 -5.35130E+02	 -5.35130E+02	 -6.00490E+02	 -6.00490E+02	    12.213807%
 -25	 -24	 -2.59189E+01	 -2.50110E+01	  3.39672E+01	 -5.35130E+02	 -5.13725E+02	 -5.96652E+02	 -5.72786E+02	    11.496503%
 -25	 -23	 -2.59189E+01	 -2.40895E+01	  3.34393E+01	 -5.35130E+02	 -4.92320E+02	 -5.93126E+02	 -5.45676E+02	    10.837737%
 -25	 -22	 -2.59189E+01	 -2.31546E+01	  3.29174E+01	 -5.35130E+02	 -4.70915E+02	 -5.89884E+02	 -5.19098E+02	    10.231827%
 -25	 -21	 -2.59189E+01	 -2.22065E+01	  3.24027E+01	 -5.35130E+02	 -4.49510E+02	 -5.86899E+02	 -4.92995E+02	     9.673950%
 -25	 -20	 -2.59189E+01	 -2.12453E+01	  3.18965E+01	 -5.35130E+02	 -4.28104E+02	 -5.84148E+02	 -4.67319E+02	     9.159985%
 -25	 -19	 -2.59189E+01	 -2.02715E+01	  3.14001E+01	 -5.35130E+02	 -4.06699E+02	 -5.81614E+02	 -4.42027E+02	     8.686390%
 -25	 -18	 -2.59189E+01	 -1.92853E+01	  3.09150E+01	 -5.35130E+02	 -3.85294E+02	 -5.79279E+02	 -4.17081E+02	     8.250104%
 -25	 -17	 -2.59189E+01	 -1.82870E+01	  3.04426E+01	 -5.35130E+02	 -3.63889E+02	 -5.77130E+02	 -3.92448E+02	     7.848473%
 -25	 -16	 -2.59189E+01	 -1.72771E+01	  2.99845E+01	 -5.35130E+02	 -3.42483E+02	 -5.75154E+02	 -3.68098E+02	     7.479183%
 -25	 -15	 -2.59189E+01	 -1.62561E+01	  2.95422E+01	 -5.35130E+02	 -3.21078E+02	 -5.73340E+02	 -3.44004E+02	     7.140214%
 -25	 -14	 -2.59189E+01	 -1.52243E+01	  2.91176E+01	 -5.35130E+02	 -2.99673E+02	 -5.71679E+02	 -3.20140E+02	     6.829796%
 -25	 -13	 -2.59189E+01	 -1.41823E+01	  2.87121E+01	 -5.35130E+02	 -2.78268E+02	 -5.70162E+02	 -2.96484E+02	     6.546379%
 -25	 -12	 -2.59189E+01	 -1.31306E+01	  2.83276E+01	 -5.35130E+02	 -2.56863E+02	 -5.68783E+02	 -2.73016E+02	     6.288601%
 -25	 -11	 -2.59189E+01	 -1.20699E+01	  2.79658E+01	 -5.35130E+02	 -2.35457E+02	 -5.67534E+02	 -2.49715E+02	     6.055269%
 -25	 -10	 -2.59189E+01	 -1.10007E+01	  2.76284E+01	 -5.35130E+02	 -2.14052E+02	 -5.66411E+02	 -2.26564E+02	     5.845339%
 -25	  -9	 -2.59189E+01	 -9.92364E+00	  2.73170E+01	 -5.35130E+02	 -1.92647E+02	 -5.65408E+02	 -2.03547E+02	     5.657896%
 -25	  -8	 -2.59189E+01	 -8.83949E+00	  2.70333E+01	 -5.35130E+02	 -1.71242E+02	 -5.64521E+02	 -1.80647E+02	     5.492148%
 -25	  -7	 -2.59189E+01	 -7.74891E+00	  2.67788E+01	 -5.35130E+02	 -1.49837E+02	 -5.63746E+02	 -1.57849E+02	     5.347409%
 -25	  -6	 -2.59189E+01	 -6.65266E+00	  2.65550E+01	 -5.35130E+02	 -1.28431E+02	 -5.63081E+02	 -1.35139E+02	     5.223093%
 -25	  -5	 -2.59189E+01	 -5.55149E+00	  2.63633E+01	 -5.35130E+02	 -1.07026E+02	 -5.62522E+02	 -1.12504E+02	     5.118707%
 -25	  -4	 -2.59189E+01	 -4.44620E+00	  2.62047E+01	 -5.35130E+02	 -8.56209E+01	 -5.62068E+02	 -8.99309E+01	     5.033841%
 -25	  -3	 -2.59189E+01	 -3.33758E+00	  2.60802E+01	 -5.35130E+02	 -6.42156E+01	 -5.61717E+02	 -6.74060E+01	     4.968167%
 -25	  -2	 -2.59189E+01	 -2.22645E+00	  2.59908E+01	 -5.35130E+02	 -4.28104E+01	 -5.61466E+02	 -4.49173E+01	     4.921435%
